Label Number;Box Number;Company Name;Company Address;Product Description;GTIN14;Batch;Amount;Expiration Date;Net weight
1;1;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Arroz Carolino 1kg;15901234567892;L292240;17;28/08/2025;17.49
1;2;Alimentar Plus;Zona Industrial, Lote 10, 3000-001 Coimbra;Sumo Laranja 1L;15901234567901;L260980;5;17/03/2026;5.61
1;3;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Água Mineral 500ml;15901234567902;L594381;41;03/05/2026;20.84
1;4;MountainFoods;Rua Serra, 88, 6000-001 Castelo Branco;Mel Natural 250g;15901234567895;L479231;23;16/05/2026;7.08
1;5;Alimentar Plus;Zona Industrial, Lote 10, 3000-001 Coimbra;Conserva de Tomate 400g;15901234567891;L557841;34;31/12/2025;13.86
2;1;MountainFoods;Rua Serra, 88, 6000-001 Castelo Branco;Atum em Conserva 120g;15901234567903;L920412;7;28/02/2026;1.03
2;2;Bio Organic;Rua do Comércio, 789, 8000-001 Faro;Chocolate Negro 100g;15901234567900;L177812;16;05/12/2025;1.76
2;3;DairyKing;Largo do Queijo, 5, 3700-001 Viseu;Café Torrado 250g;15901234567899;L167381;43;24/07/2025;10.88
2;4;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Atum em Conserva 120g;15901234567903;L883554;3;08/03/2026;0.6
2;5;Alimentar Plus;Zona Industrial, Lote 10, 3000-001 Coimbra;Sumo Laranja 1L;15901234567901;L835134;23;07/11/2025;24.4
2;6;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Azeitonas Verdes 300g;15901234567897;L514609;20;29/07/2025;7.49
4;1;MountainFoods;Rua Serra, 88, 6000-001 Castelo Branco;Snacks Salgados 200g;15901234567904;L637991;2;18/07/2025;0.57
4;2;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Azeite Extra Virgem 500ml;15901234567890;L353188;37;05/12/2025;18.97
4;3;Bio Organic;Rua do Comércio, 789, 8000-001 Faro;Água Mineral 500ml;15901234567902;L399624;40;28/03/2026;20.43
5;1;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Massa Fusilli 500g;15901234567898;L579271;32;29/09/2025;16.17
5;2;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Café Torrado 250g;15901234567899;L221269;21;29/10/2025;5.37
5;3;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Atum em Conserva 120g;15901234567903;L521862;28;16/05/2026;4.09
5;4;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Bacalhau Seco 500g;15901234567896;L939272;28;23/09/2025;14.38
5;5;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Massa Fusilli 500g;15901234567898;L596450;37;16/04/2026;18.63
5;6;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Queijo Curado 200g;15901234567894;L511176;15;05/09/2025;3.16
5;7;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Conserva de Tomate 400g;15901234567891;L749218;45;10/09/2025;18.22
5;8;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Sumo Laranja 1L;15901234567901;L357966;35;29/12/2025;36.99
6;1;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Azeite Extra Virgem 500ml;15901234567890;L282948;24;29/03/2026;12.38
6;2;FreshFoods Portugal;Rua das Flores, 123, 1200-001 Lisboa;Azeitonas Verdes 300g;15901234567897;L782041;42;03/10/2025;15.07
6;3;MountainFoods;Rua Serra, 88, 6000-001 Castelo Branco;Queijo Curado 200g;15901234567894;L126268;48;06/08/2025;10.01
6;4;Bio Organic;Rua do Comércio, 789, 8000-001 Faro;Snacks Salgados 200g;15901234567904;L343074;5;12/10/2025;1.44
6;5;GreenHarvest;Caminho Verde, 32, 2600-001 Viseu;Arroz Carolino 1kg;15901234567892;L259410;43;04/09/2025;43.19
6;6;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Atum em Conserva 120g;15901234567903;L444514;32;24/05/2026;4.46
6;7;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Arroz Carolino 1kg;15901234567892;L493485;17;21/01/2026;17.36
8;1;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Chocolate Negro 100g;15901234567900;L567974;36;04/06/2026;3.76
8;2;FreshFoods Portugal;Rua das Flores, 123, 1200-001 Lisboa;Azeite Extra Virgem 500ml;15901234567890;L781234;32;24/09/2025;16.42
8;3;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Queijo Curado 200g;15901234567894;L885238;49;18/02/2026;10.05
8;4;MountainFoods;Rua Serra, 88, 6000-001 Castelo Branco;Azeitonas Verdes 300g;15901234567897;L316515;48;11/09/2025;17.19
8;5;DairyKing;Largo do Queijo, 5, 3700-001 Viseu;Café Torrado 250g;15901234567899;L471570;35;30/03/2026;9.09
8;6;FreshFoods Portugal;Rua das Flores, 123, 1200-001 Lisboa;Mel Natural 250g;15901234567895;L130132;33;22/10/2025;10.15
9;1;SeaDelights;Av. do Mar, 157, 9000-001 Funchal;Chocolate Negro 100g;15901234567900;L648169;19;25/12/2025;2.16
9;2;Bakery & Co;Rua do Pão, 20, 3500-001 Viseu;Azeite Extra Virgem 500ml;15901234567890;L647878;27;16/03/2026;13.95
9;3;MountainFoods;Rua Serra, 88, 6000-001 Castelo Branco;Café Torrado 250g;15901234567899;L975407;25;25/07/2025;6.74
9;4;Alimentar Plus;Zona Industrial, Lote 10, 3000-001 Coimbra;Atum em Conserva 120g;15901234567903;L897131;36;21/02/2026;4.82
9;5;Bio Organic;Rua do Comércio, 789, 8000-001 Faro;Vinho Tinto 750ml;15901234567893;L867455;8;23/02/2026;10.0
9;6;Agro Premium Lda;Estrada Nacional 1, Km 25, 2500-001 Caldas da Rainha;Azeite Extra Virgem 500ml;15901234567890;L101940;40;19/02/2026;20.19
