Label Number;Company Name;Company Address;Product Description;Net weight;Batch Number;Country of origin;SN - Serial Number;Expiration Date;GTIN-14
1;Química Duarte;R. de Neves, S/N, 8302-588 Tomar;Farinha;54.85 L;31876;Itália;ASK0ABV44KQ4;09/04/2032;17951160855001
2;Empresa do João;Praça Domingues, 21, 5595-352 Trofa;Computador;15933 g;94439;Espanha;IL1XR3LHXZVH;16/08/2029;14399019057954
3;Empresa do José;Praça Miguel Coelho, 245, 2281-102 Vila Franca de Xira; Azeite;16340 mL;60597;Brasil;NW38ZF6ZRBEX;01/09/2025;14002859610232
4;Têxtil Lusa;Alameda do Tejo, 6, 7411-829 Anadia;Impressora;254.62 L;33266;Espanha;TGLHFZVQVQIH;02/07/2026;69025780229464
5;Empresa do José;Largo Fernandes, 40, 7025-535 Fafe;Farinha;500 un;43409;Brasil;SJNN95KIQR0B;NODATE;23425186778558
6;Empresa do João;Avenida Irina Fonseca, 643, 5447-136 Mirandela;Cadeira;273 un;57590;China;1FUT88WX2BKT;16/08/2028;47345660128468
7;Móveis Raiz;Avenida das Gáveas ao Parque das Nações, 312, 5989-116 Valongo;Camisola;16222 g;20995;França;M34X2DZ5A0Y7;28/03/2027;88717774704209
8;Empresa Alfa;Largo Guerreiro, S/N, 4555-848 Sacavém;Impressora;233.43 kg;18094;China;5IUTISAV94O7;22/12/2030;74658054555027
9;Móveis Raiz;Av do Lagarteiro, 91, 3498-356 Gafanha da Nazaré;Pão;19213 g;97607;Brasil;PWI64NIYL6CO;NODATE;75460313344536
10;Empresa do João;Alameda Jorge Melo, 347, 0126-023 Loulé;Camisola;316.62 L;40909;França;GE86M0YQQTYP;26/10/2027;52469257983044
11;Padaria Central;Avenida de Silva, 71, 8244-083 Mirandela;Madeira;379.66 kg;25019;Espanha;Y2DL9KYX01AG;24/01/2034;21139059717919
12;Empresa do José;Rua de Moreira, 517, 5816-442 Amadora;Sabonete;333.34 L;35144;Brasil;MHWA1FTQFQ49;13/05/2031;97770417959462
13;Empresa do José;Praça de Tavares, 51, 3173-305 Mêda;Farinha;452.26 kg;12667;França;V0ORU8BHJQ3M;08/06/2030;75809384860024
14;Empresa Alfa;R. do Anjo da Guarda, 98, 3993-696 Bragança;Computador;381 un;75583;França;385V7659LSU6;02/08/2028;49647966917118
15;Global Tech;R. Erica Batista, 32, 0710-528 Câmara de Lobos;Madeira;14789 g;21076;China;QB5O801F5RAZ;12/09/2025;90247686713587
16;Móveis Raiz;Travessa de Machado, 61, 6455-687 Abrantes;Madeira;2087 mL;42405;Itália;Y9JSIAAUV4SX;07/09/2029;25140103435263
